output,utilitywalk,utilitypt,utilitycar,seed,fuaInd,popSample
carShare,0.023038831912827514,0.0058328788122636414,0.007914471686145366,3.9482517832302464,0.16587963605141737,0.3791178591268309
ptShare,0.00814619205697018,0.0074158009535964095,0.0030482952910839915,2.1645950742964866,0.040189913623242084,0.016975921528061568
walkShare,0.005962191895523936,0.0017329409488950627,0.0074227988032672405,0.8347056954264684,0.16026537650010153,0.08220514286995416
avgTripDistance,0.11558093555285823,0.19047755970484093,0.08702075995736391,0.04037587820275993,1.5198336949642695,0.04947675870910796
avgScore,0.4364958430785056,3.362400903410411E-4,0.003982896891808772,0.057991399528553825,0.008525871055357669,0.007310471792238036
