estimate
3.132
3.16
3.08
3.16
3.152
3.08
3.184
3.076
3.1
3.112
3.152
3.208
3.112
3.088
3.096
3.164
3.204
3.164
3.068
3.268
3.132
3.116
3.116
3.14
3.204
3.116
3.176
3.148
3.096
3.176
3.16
3.192
3.252
3.212
3.18
3.136
3.192
3.108
3.14
3.156
3.128
3.088
3.212
3.136
3.084
3.292
3.176
3.1
3.112
3.18
3.12
3.056
3.152
3.144
3.232
3.088
3.272
3.084
3.112
3.188
3.104
3.2
3.204
3.096
3.196
3.192
3.1
3.192
3.176
3.268
3.216
3.12
3.128
3.124
3.152
3.192
3.124
3.16
3.128
3.16
3.128
3.08
3.108
3.184
3.168
3.12
3.092
3.188
3.176
3.092
3.192
3.164
3.048
3.132
3.132
3.116
3.108
3.088
3.12
3.096
