avgScore,avgTripDistance,carShare,fuaName,iterations,popSample,ptShare,seed,threads,utilitycar,utilitypt,utilitywalk,walkShare,openmole$experiment
-328.64621297462065,1.2182534683762691,0.6035882313961964,Exeter,1,0.09375,0.19839639520243854,3750.0,10,12.5,87.5,87.5,0.19801537340136505,49
-333.46884272997033,1.885443800594241,0.5977002967359051,Taunton,1,0.07500000000000001,0.19525222551928784,5000.0,10,50.0,50.0,50.0,0.2070474777448071,3
-342.7167964404894,1.786463028914349,0.5935483870967742,Taunton,1,0.05,0.20044493882091213,0.0,10,0.0,0.0,0.0,0.20600667408231368,2
-341.05088693782477,1.9515921898345499,0.6129725855581437,Taunton,1,0.0625,0.1980827808636445,7500.0,10,75.0,75.0,25.0,0.18894463357821178,5
-336.5109400324149,1.9877052644349844,0.6008914100486223,Taunton,1,0.05625,0.19165316045380876,8750.0,10,62.5,37.5,37.5,0.20745542949756887,6
-330.97238058142415,1.305283227735631,0.6036259339258525,Exeter,1,0.08750000000000001,0.19806309974859246,2500.0,10,25.0,25.0,75.0,0.19831096632555503,4
-328.5279360042817,1.188601643443355,0.6036394219741571,Exeter,1,0.08125,0.19833320590259193,3750.0,10,12.5,87.5,87.5,0.198027372123251,7
-342.5840232714254,1.9389218617680024,0.5933094652047438,Taunton,1,0.05,0.20082792571044977,0.0,10,0.0,0.0,0.0,0.20586260908480644,8
-333.3550628233555,1.8356411414865947,0.5974870657797487,Taunton,1,0.07500000000000001,0.19549150036954915,5000.0,10,50.0,50.0,50.0,0.20702143385070215,9
-339.5553117082397,1.2965067039493041,0.5983121007743639,Exeter,1,0.08750000000000001,0.20476037540591657,7500.0,10,75.0,75.0,25.0,0.1969275238197195,10
-329.08779161550603,1.857317864577308,0.6005086826872479,Taunton,1,0.0625,0.20128047710927907,2500.0,10,25.0,25.0,75.0,0.19821084020347307,11
-341.07300299770765,1.9554003295852596,0.6131193792981837,Taunton,1,0.0625,0.1977605360606595,7500.0,10,75.0,25.0,25.0,0.18912008464115676,23
-337.6316076047008,1.2836012116270585,0.6012976995326467,Exeter,1,0.06875,0.2018013521484641,6250.0,10,87.5,87.5,37.5,0.19690094831888924,12
-333.6490719257541,1.7531304684514495,0.597665313225058,Taunton,1,0.07500000000000001,0.19525812064965198,5000.0,10,50.0,50.0,50.0,0.20707656612529002,15
