avgScore,avgTripDistance,carShare,fuaName,iterations,popSample,ptShare,seed,threads,utilitycar,utilitypt,utilitywalk,walkShare,openmole$experiment
-339.1859184967164,2.086513727710654,0.6020689036157195,Fazeley,1,1.0,0.19735365835415203,4062.5,10,71.875,71.875,34.375,0.2005774380301285,141
-335.1774881033612,0.3013054886341729,0.598376562956924,Hereford,1,1.0,0.19934513101810417,5000.0,10,50.0,50.0,50.0,0.20227830602497188,3
0.0,0.0,0.0,Aberdeen,1,1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,2
-331.5213316304031,2.0741091054285743,0.6012452443773404,Fazeley,1,1.0,0.19754239885192354,2187.5,10,59.375,28.125,71.875,0.201212356770736,41
-340.10426353757043,1.533508181624164,0.5979348230417685,Chelmsford,1,1.0,0.20164204485067488,7500.0,10,75.0,75.0,25.0,0.2004231321075566,5
-330.5857741592091,2.278094981466244,0.5999715571022544,Reading,1,1.0,0.20088423949756457,2500.0,10,25.0,25.0,75.0,0.1991442034001811,4
-338.02487812656614,1.6978548963925777,0.5997516971160417,Eastbourne,1,1.0,0.20019135268121555,8750.0,10,62.5,37.5,37.5,0.20005695020274272,6
-328.38101182835294,2.552721870853229,0.6011226094647473,Stevenage,1,1.0,0.19970713039408342,3750.0,10,12.5,87.5,87.5,0.19917026014116934,7
-343.1131513438849,5.693472022415306,0.6001827836771011,Blackwater,1,1.0,0.1998965281098635,1250.0,10,37.5,62.5,12.5,0.19992068821303546,9
-332.9581140103904,1.459225788578165,0.5994579560978714,Luton,1,1.0,0.20071782869062366,6250.0,10,87.5,12.5,62.5,0.19982421521150484,8
-341.7928161515591,3.8604536674514334,0.5997965251232208,Lincoln,1,1.0,0.20155371835521182,4375.0,10,93.75,31.25,18.75,0.19864975652156736,10
-327.11015818818623,3.974087065863607,0.6009884883810767,Crewe,1,1.0,0.20052407482123083,1875.0,10,68.75,6.25,93.75,0.1984874367976925,12
-337.1537263205584,0.4711779741441345,0.6014443787482051,Shrewsbury,1,1.0,0.19914535164978614,6875.0,10,18.75,56.25,43.75,0.19941026960200878,13
-332.0474017395252,2.7800342200569794,0.6009134434204666,Basingstoke,1,1.0,0.19895551406351708,9375.0,10,43.75,81.25,68.75,0.2001310425160163,11
