avgScore,avgTripDistance,carShare,fuaName,iterations,popSample,ptShare,seed,threads,utilitycar,utilitypt,utilitywalk,walkShare,openmole$experiment
0.0,0.0,0.0,Aberdeen,1,1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,2
-339.1882940185184,2.131876317648674,0.6020790207229492,Fazeley,1,1.0,0.19735003325536382,4062.5,10,71.875,71.875,34.375,0.20057094602168699,141
-330.58864440596295,2.2778173742287153,0.5999703023306396,Reading,1,1.0,0.20088381937124597,2500.0,10,25.0,25.0,75.0,0.19914587829811442,4
-326.9507073313629,3.8547417008397216,0.6004170259826607,Lincoln,1,1.0,0.20102166428585536,1875.0,10,68.75,6.25,93.75,0.19856130973148398,132
-340.10570242444373,1.466729422508676,0.5979375622716705,Chelmsford,1,1.0,0.20163400863500497,7500.0,10,75.0,75.0,25.0,0.20042842909332448,5
-328.38610287082986,2.619372154431867,0.6011225901479121,Stevenage,1,1.0,0.1997036940167528,3750.0,10,12.5,87.5,87.5,0.19917371583533508,7
-338.01927028517014,1.6805334228964492,0.5997503223484278,Eastbourne,1,1.0,0.2002022935717117,8750.0,10,62.5,37.5,37.5,0.2000473840798604,6
-332.95768670510324,1.481921791539023,0.5994613981614092,Luton,1,1.0,0.20071487153122056,6250.0,10,87.5,12.5,62.5,0.19982373030737027,8
-341.79192213971714,3.9009168293143506,0.5998155983996576,Lincoln,1,1.0,0.2015624742743303,4375.0,10,93.75,31.25,18.75,0.19862192732601214,10
-343.1147471603548,5.741233079489812,0.6001827836771011,Blackwater,1,1.0,0.19989486189585162,1250.0,10,37.5,62.5,12.5,0.1999223544270473,9
-332.03267193330447,2.7459933168996202,0.600852972551506,Basingstoke,1,1.0,0.19901764637840108,9375.0,10,43.75,81.25,68.75,0.20012938107009284,11
-335.1655664932971,0.33431330815689625,0.5983687899274328,Hereford,1,1.0,0.19937356571357687,5000.0,10,50.0,50.0,50.0,0.20225764435899027,3
-327.08325841322426,3.9768550865286114,0.6009050492219752,Crewe,1,1.0,0.20061066147125214,1875.0,10,68.75,6.25,93.75,0.19848428930677264,12
-337.19030223218743,0.47476208424366495,0.6014121061805561,Shrewsbury,1,1.0,0.1991614899678264,6875.0,10,18.75,56.25,43.75,0.1994264038516175,13
-339.26374382583367,2.4983325055383103,0.5996683715992736,Telford,1,1.0,0.1995955537229236,5625.0,10,31.25,18.75,31.25,0.20073607467780283,14
-329.4450570286606,5.031813392503162,0.6003899395593683,Gloucester,1,1.0,0.19983232598947162,625.0,10,81.25,68.75,81.25,0.19977773445116007,15
-334.21357523431016,1.4147345258299964,0.5994555269185757,Cambridge,1,1.0,0.20015303928008188,8125.0,10,6.25,43.75,56.25,0.20039143380134233,16
