HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
4724,E00166756,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4241,E00000035,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
1165,E00000016,5,-2,3,1,-2,1,4,1,-1,2,2,2,2
4008,E00000032,5,-2,5,4,-2,2,3,3,-1,2,3,4,1
6,E00000001,5,-2,2,3,-2,4,4,2,-1,2,4,2,1
4332,E00166755,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
2313,E00000024,5,-2,6,2,-2,2,2,1,-1,2,1,5,2
2094,E00000022,5,-2,5,1,-2,1,1,1,-1,2,3,2,1
409,E00000005,5,-2,6,1,-2,1,3,1,-1,2,1,3,1
1280,E00000017,5,-2,2,1,-2,1,5,3,-1,2,4,2,3
2539,E00000025,5,-2,3,2,-2,3,3,3,-1,2,1,2,3
4784,E00166757,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
5490,E00166759,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
4510,E00166755,-2,-2,-1,-1,-2,0,6,2,-1,2,-1,-1,1
5451,E00166759,5,-2,5,1,-2,1,3,1,-1,2,1,2,1
4335,E00166755,5,-2,2,1,-2,1,6,3,-1,2,2,4,1
4734,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
2525,E00000025,4,-2,2,2,-2,3,6,3,-1,2,8,2,1
175,E00000003,5,-2,2,5,-2,3,6,4,-1,2,2,4,1
1102,E00000016,5,-2,2,1,-2,1,4,1,-1,2,2,2,1
1392,E00000017,5,-2,6,1,-2,1,6,1,-1,2,1,2,1
4015,E00000032,5,-2,5,1,-2,1,4,1,-1,2,3,2,2
2748,E00000025,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
