HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
244,E00000005,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
3550,E00000028,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
1390,E00000017,5,-2,6,1,-2,1,4,3,-1,2,1,5,2
5290,E00166758,5,-2,6,1,-2,1,3,1,-1,2,1,2,1
3359,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2345,E00000024,5,-2,6,5,-2,2,3,2,-1,2,4,2,2
3101,E00000027,5,-2,3,5,-2,2,1,1,-1,2,1,2,1
1246,E00000016,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4859,E00166757,5,-2,6,1,-2,1,2,1,-1,2,4,4,1
2585,E00000025,5,-2,6,1,-2,1,3,1,-1,2,1,2,2
3586,E00000029,5,-2,5,2,-2,2,2,1,-1,2,4,8,1
1011,E00000014,5,-2,5,1,-2,1,3,1,-1,2,2,2,1
1890,E00000021,5,-2,3,2,-2,2,2,1,-1,2,2,2,1
1674,E00000019,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4847,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,3,2
1587,E00000019,5,-2,2,1,-2,1,3,2,-1,2,2,4,1
2677,E00000025,5,-2,6,5,-2,3,4,1,-1,2,1,2,2
489,E00000007,5,-2,2,1,-2,1,4,2,-1,2,1,2,3
787,E00000012,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
4069,E00000032,5,-2,5,2,-2,4,5,3,-1,2,1,6,1
1702,E00000020,5,-2,2,2,-2,2,3,1,-1,2,2,2,2
3091,E00000027,5,-2,2,5,-2,2,6,4,-1,2,2,2,1
3611,E00000029,5,-2,5,2,-2,2,3,2,-1,2,2,2,1
3609,E00000029,5,-2,5,2,-2,2,3,1,-1,2,2,7,1
4210,E00000035,5,-2,6,1,-2,1,4,2,-1,2,6,4,1
4203,E00000035,5,-2,6,1,-2,1,4,1,-1,2,1,2,1
5001,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1086,E00000016,5,-2,2,1,-2,1,3,1,-1,2,7,2,1
1682,E00000020,5,-2,2,1,-2,1,2,1,-1,2,2,2,1
2024,E00000021,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2458,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
92,E00000001,5,-2,6,4,-2,3,5,3,-1,2,2,2,1
402,E00000005,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
4173,E00000035,5,-2,6,1,-2,1,3,1,-1,1,9,2,1
2540,E00000025,5,-2,3,1,-2,1,4,1,-1,2,1,2,1
4377,E00166755,5,-2,6,3,-2,2,2,1,-1,2,3,2,1
838,E00000013,5,-2,2,2,-2,2,5,2,-1,2,1,2,1
3544,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,1,-1,-1,1
5516,E00166759,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
1278,E00000017,5,-2,2,1,-2,1,5,3,-1,2,1,2,2
5365,E00166758,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
122,E00000003,5,-2,2,2,-2,2,4,3,-1,2,1,2,2
4073,E00000032,5,-2,5,4,-2,4,5,3,-1,2,2,2,1
777,E00000012,5,-2,5,1,-2,1,5,3,-1,2,7,3,1
4515,E00166755,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
584,E00000010,5,-2,2,1,-2,1,2,1,-1,2,2,2,1
1029,E00000014,5,-2,6,1,-2,1,1,1,-1,2,6,5,1
4192,E00000035,5,-2,6,3,-2,2,3,1,-1,2,2,4,1
4466,E00166755,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
2251,E00000024,5,-2,2,1,-2,1,3,2,-1,2,1,2,3
86,E00000001,5,-2,6,1,-2,1,5,3,-1,2,4,2,1
2513,E00000025,5,-2,2,1,-2,1,4,2,-1,2,2,2,3
1071,E00000016,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
1366,E00000017,5,-2,5,3,-2,2,5,2,-1,2,2,2,1
3508,E00000028,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1043,E00000014,5,-2,6,1,-2,1,2,1,-1,2,1,6,1
829,E00000013,5,-2,2,1,-2,1,3,1,-1,2,5,6,2
1933,E00000021,5,-2,5,1,-2,1,3,2,-1,2,8,2,1
2054,E00000022,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
4832,E00166757,5,-2,6,1,-2,1,2,1,-1,1,2,4,1
3936,E00000031,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
1080,E00000016,5,-2,2,2,-2,2,2,1,-1,2,8,6,1
3057,E00000026,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3659,E00000029,5,-2,6,3,-2,2,3,2,-1,2,1,6,1
3898,E00000031,5,-2,5,1,-2,1,3,1,-1,2,7,7,2
2691,E00000025,5,-2,6,2,-2,3,5,2,-1,2,4,2,2
1121,E00000016,5,-2,2,2,-2,2,4,2,-1,2,2,2,2
5399,E00166759,5,-2,2,1,-2,1,3,2,-1,2,2,2,2
2378,E00000024,5,-2,6,1,-2,1,6,4,-1,2,2,2,2
2347,E00000024,5,-2,6,5,-2,3,3,3,-1,2,1,6,1
2559,E00000025,5,-2,6,1,-2,1,1,1,-1,1,2,2,1
4104,E00000035,5,-2,2,1,-2,1,4,2,-1,2,1,6,1
556,E00000007,5,-2,6,3,-2,2,4,2,-1,2,3,6,1
434,E00000005,5,-2,6,3,-2,3,3,2,-1,2,2,2,1
3464,E00000028,5,-2,6,1,-2,1,3,1,-1,2,1,2,1
3876,E00000031,5,-2,3,1,-2,1,3,1,-1,2,2,2,1
1844,E00000021,5,-2,2,1,-2,1,3,1,-1,2,1,2,3
3069,E00000027,5,-2,2,1,-2,1,2,1,-1,2,4,2,1
4483,E00166755,-2,-2,-1,-1,-2,0,5,4,-1,2,-1,-1,1
2053,E00000022,5,-2,2,1,-2,1,4,2,-1,2,1,4,1
4648,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,6,1
3617,E00000029,5,-2,5,4,-2,3,6,3,-1,2,8,2,1
1450,E00000018,5,-2,2,1,-2,1,3,1,-1,2,2,2,1
1476,E00000018,5,-2,2,2,-2,2,4,1,-1,2,4,2,2
1383,E00000017,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
2837,E00000026,5,-2,2,1,-2,1,4,1,-1,2,2,4,1
236,E00000003,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1
1323,E00000017,5,-2,3,2,-2,2,3,2,-1,2,1,2,2
1839,E00000021,5,-2,2,1,-2,1,3,1,-1,2,4,2,1
2927,E00000026,5,-2,6,1,-2,1,3,1,-1,2,1,2,1
2818,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3150,E00000027,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
888,E00000013,5,-2,6,1,-2,1,3,2,-1,2,3,2,1
4209,E00000035,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
4543,E00166755,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3491,E00000028,5,-2,6,1,-2,1,4,2,-1,2,2,8,1
2222,E00000023,5,-2,5,1,-2,1,5,3,-1,2,3,2,1
1626,E00000019,5,-2,3,2,-2,4,5,3,-1,2,2,2,2
4157,E00000035,5,-2,6,1,-2,1,2,1,-1,2,1,4,1
4305,E00000035,-2,-2,-1,-1,-2,0,5,1,-1,2,-1,-1,1
2217,E00000023,5,-2,5,4,-2,3,4,2,-1,2,2,2,2
1262,E00000016,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4626,E00166756,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
2793,E00000025,-2,-2,-1,-1,-2,0,4,3,-1,1,-1,-1,1
1776,E00000020,5,-2,6,1,-2,1,2,1,-1,2,2,4,1
2040,E00000022,5,-2,2,1,-2,1,1,1,-1,2,2,2,2
228,E00000003,-2,-2,-1,-1,-2,0,4,3,-1,2,-1,-1,1
1696,E00000020,5,-2,2,1,-2,1,3,2,-1,2,3,2,1
5293,E00166758,5,-2,6,1,-2,1,3,1,-1,2,1,4,2
346,E00000005,5,-2,3,5,-2,2,3,1,-1,1,3,6,3
2724,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
5425,E00166759,5,-2,3,1,-2,1,2,1,-1,2,1,2,1
4916,E00166757,5,-2,6,1,-2,1,3,2,-1,2,1,2,1
1543,E00000018,4,-2,6,3,-2,2,3,1,-1,2,1,2,2
4871,E00166757,5,-2,6,3,-2,2,2,1,-1,2,1,2,1
2081,E00000022,5,-2,3,4,-2,2,4,2,-1,2,2,2,1
1098,E00000016,5,-2,2,2,-2,2,3,2,-1,2,1,2,1
2350,E00000024,5,-2,6,1,-2,1,4,1,-1,2,2,4,1
3258,E00000027,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
3554,E00000028,-2,-2,-1,-1,-2,0,1,1,-1,1,-1,-1,1
3771,E00000030,5,-2,5,1,-2,1,2,1,-1,2,7,2,1
3888,E00000031,5,-2,5,1,-2,1,3,1,-1,2,4,2,1
348,E00000005,5,-2,3,3,-2,2,3,2,-1,2,1,2,1
5074,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
357,E00000005,5,-2,3,2,-2,2,4,2,-1,2,2,4,1
1239,E00000016,5,-2,6,3,-2,2,4,1,-1,2,6,6,1
4835,E00166757,3,-2,6,1,-2,1,2,1,-1,2,2,4,1
1472,E00000018,5,-2,2,1,-2,1,4,1,-1,2,2,2,2
4123,E00000035,5,-2,3,3,-2,2,3,2,-1,2,1,2,3
2867,E00000026,5,-2,3,2,-2,2,3,2,-1,2,1,2,1
576,E00000007,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
5322,E00166758,5,-2,6,1,-2,1,4,2,-1,2,1,4,2
5239,E00166758,5,-2,3,1,-2,1,3,1,-1,2,1,2,2
898,E00000013,-2,28,-2,-1,84,-1,-1,-1,-1,2,8,-1,1
1630,E00000019,5,-2,5,1,-2,1,3,2,-1,2,2,2,1
215,E00000003,5,-2,6,5,-2,4,5,4,-1,2,1,6,1
1416,E00000017,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1
1490,E00000018,5,-2,2,2,-2,2,6,3,-1,2,2,2,1
3991,E00000032,5,-2,5,1,-2,1,3,2,-1,2,4,6,1
1511,E00000018,5,-2,3,2,-2,3,3,2,-1,2,1,4,2
1077,E00000016,5,-2,2,2,-2,2,2,1,-1,2,2,2,1
429,E00000005,5,-2,6,5,-2,2,3,1,-1,2,2,6,1
674,E00000012,5,-2,2,1,-2,1,3,1,-1,2,2,3,1
4541,E00166755,-2,-2,-1,-1,-2,0,3,2,-1,1,-1,-1,1
4791,E00166757,5,-2,2,2,-2,3,5,2,-1,2,3,6,1
1810,E00000020,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3321,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4694,E00166756,5,-2,6,3,-2,4,3,2,-1,2,2,2,1
2152,E00000023,5,-2,2,1,-2,1,4,2,-1,2,1,2,1
4327,E00166755,5,-2,2,1,-2,1,3,2,-1,2,1,4,1
451,E00000005,5,-2,6,5,-2,2,5,1,-1,2,2,2,1
4597,E00166756,5,-2,3,1,-2,1,2,1,-1,2,2,2,1
4487,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2529,E00000025,5,-2,3,2,-2,2,2,1,-1,2,2,4,1
3852,E00000030,5,-2,6,5,-2,2,4,2,-1,2,5,2,2
2140,E00000022,5,-2,6,1,-2,1,4,2,-1,2,1,6,1
3883,E00000031,5,-2,5,2,-2,2,2,1,-1,2,5,5,2
1284,E00000017,5,-2,2,2,-2,2,5,3,-1,2,1,2,1
5093,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
951,E00000014,5,-2,3,1,-2,1,2,1,-1,2,2,2,1
3408,E00000028,5,-2,3,1,-2,1,3,1,-1,2,1,2,2
5282,E00166758,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
4773,E00166757,5,-2,2,1,-2,1,4,1,-1,1,2,2,2
4298,E00000035,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1
5327,E00166758,5,-2,6,3,-2,2,4,1,-1,2,2,2,1
37,E00000001,5,-2,2,3,-2,2,5,3,-1,2,2,2,1
349,E00000005,5,-2,3,3,-2,2,3,2,-1,2,2,2,3
4329,E00166755,4,-2,2,1,-2,1,4,2,-1,2,6,2,2
46,E00000001,5,-2,2,2,-2,2,6,3,-1,2,4,2,1
1588,E00000019,5,-2,2,1,-2,1,3,2,-1,2,4,4,2
928,E00000014,5,-2,2,1,-2,1,1,1,-1,2,2,2,3
5413,E00166759,5,-2,2,2,-2,2,5,1,-1,2,1,2,1
1625,E00000019,4,-2,3,2,-2,4,5,3,-1,2,3,2,1
917,E00000013,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1138,E00000016,5,-2,2,1,-2,1,6,1,-1,2,1,2,2
2295,E00000024,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
1299,E00000017,5,-2,2,2,-2,2,6,3,-1,2,3,2,1
1631,E00000019,5,-2,5,1,-2,1,4,1,-1,2,2,2,1
4278,E00000035,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
1792,E00000020,5,-2,6,1,-2,1,4,2,-1,2,2,3,1
1830,E00000021,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
2688,E00000025,5,-2,6,1,-2,1,5,3,-1,2,1,2,1
1174,E00000016,5,-2,3,2,-2,2,4,2,-1,2,1,2,2
1127,E00000016,5,-2,2,2,-2,3,4,2,-1,2,2,2,2
176,E00000003,5,-2,2,2,-2,4,6,3,-1,2,1,2,2
1258,E00000016,-2,-2,-1,-1,-2,0,5,3,-1,2,-1,-1,1
5489,E00166759,5,-2,6,5,-2,2,1,1,-1,2,1,2,1
2465,E00000024,-2,-2,-1,-1,-2,0,3,2,-1,1,-1,-1,1
130,E00000003,5,-2,2,2,-2,2,5,3,-1,2,1,2,1
5247,E00166758,5,-2,3,2,-2,2,3,1,-1,2,1,2,1
1988,E00000021,5,-2,6,1,-2,1,4,2,-1,2,1,6,1
866,E00000013,5,-2,5,2,-2,2,2,1,-1,2,7,2,1
4865,E00166757,5,-2,6,1,-2,1,2,1,-1,2,1,6,1
4599,E00166756,5,-2,3,1,-2,1,2,1,-1,2,1,5,2
1926,E00000021,5,-2,3,3,-2,4,4,2,-1,2,1,2,1
3335,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
97,E00000001,5,-2,6,5,-2,3,6,3,-1,2,1,2,2
5026,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,1,-1,-1,1
2330,E00000024,5,-2,6,1,-2,1,3,2,-1,2,2,3,1
1070,E00000016,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
2326,E00000024,5,-2,6,1,-2,1,3,2,-1,2,6,2,1
1757,E00000020,5,-2,3,1,-2,1,5,1,-1,2,2,2,2
5400,E00166759,5,-2,2,2,-2,2,3,2,-1,2,1,2,1
3044,E00000026,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3336,E00000027,-2,-2,-1,-1,-2,0,4,3,-1,2,-1,-1,1
5180,E00166758,5,-2,2,2,-2,2,3,2,-1,2,1,6,1
4277,E00000035,-2,-2,-1,-1,-2,0,2,2,-1,2,-1,-1,1
2781,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
287,E00000005,5,-2,2,5,-2,2,3,2,-1,2,2,2,2
5271,E00166758,5,-2,3,4,-2,2,6,1,-1,2,1,2,2
1522,E00000018,5,-2,3,2,-2,2,6,3,-1,2,2,2,2
1694,E00000020,5,-2,2,1,-2,1,3,1,-1,2,1,2,3
1231,E00000016,5,-2,6,1,-2,1,3,2,-1,2,2,4,1
3860,E00000030,5,-2,6,5,-2,3,5,3,-1,2,9,2,2
5028,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2612,E00000025,5,-2,6,3,-2,2,3,2,-1,2,1,2,1
1194,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
2785,E00000025,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4371,E00166755,4,-2,6,2,-2,2,2,1,-1,2,9,6,2
5552,E00166759,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
5320,E00166758,5,-2,6,1,-2,1,4,2,-1,2,1,2,1
1520,E00000018,5,-2,3,1,-2,1,6,1,-1,2,1,2,1
4501,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3024,E00000026,-2,-2,-1,-1,-2,0,3,2,-1,1,-1,-1,1
4381,E00166755,5,-2,6,3,-2,2,2,1,-1,2,9,8,1
115,E00000003,5,-2,2,2,-2,2,2,1,-1,2,1,2,2
3204,E00000027,5,-2,6,2,-2,2,2,1,-1,2,2,2,1
4751,E00166757,5,-2,2,1,-2,1,3,1,-1,2,2,2,1
1624,E00000019,5,-2,3,2,-2,2,4,2,-1,2,1,4,1
1544,E00000018,5,-2,6,3,-2,2,3,1,-1,2,1,2,1
4568,E00166756,5,-2,2,1,-2,1,1,1,-1,2,2,4,1
2284,E00000024,5,-2,3,2,-2,4,4,3,-1,2,4,2,1
4467,E00166755,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
2079,E00000022,5,-2,3,3,-2,2,4,2,-1,2,1,2,1
1510,E00000018,4,-2,3,3,-2,2,3,2,-1,2,2,2,2
1167,E00000016,5,-2,3,1,-2,1,4,2,-1,2,1,2,2
2410,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3531,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
1653,E00000019,5,-2,6,2,-2,2,4,2,-1,2,1,2,1
1145,E00000016,5,-2,3,1,-2,1,2,1,-1,2,2,6,1
3527,E00000028,-2,-2,-1,-1,-2,0,2,1,-1,1,-1,-1,1
1375,E00000017,5,-2,5,4,-2,4,6,4,-1,2,2,2,1
3896,E00000031,5,-2,5,1,-2,1,3,1,-1,2,2,6,1
3723,E00000029,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
4935,E00166757,5,-2,6,3,-2,2,3,1,-1,2,2,4,1
4401,E00166755,5,-2,6,2,-2,2,3,1,-1,2,1,2,3
3223,E00000027,5,-2,6,5,-2,2,2,1,-1,2,1,4,1
4924,E00166757,5,-2,6,1,-2,1,3,2,-1,2,9,4,1
2866,E00000026,5,-2,3,1,-2,1,3,2,-1,2,2,4,2
5560,E00166759,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
946,E00000014,5,-2,2,1,-2,1,6,1,-1,2,2,2,1
5334,E00166758,5,-2,6,4,-2,2,5,1,-1,2,1,2,1
2625,E00000025,5,-2,6,1,-2,1,4,1,-1,2,2,2,2
1110,E00000016,5,-2,2,1,-2,1,4,2,-1,2,2,2,1
5338,E00166758,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
4639,E00166756,5,-2,6,1,-2,1,1,1,-1,2,2,4,1
1166,E00000016,5,-2,3,1,-2,1,4,2,-1,2,3,2,1
3390,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2049,E00000022,5,-2,2,1,-2,1,4,2,-1,2,2,2,1
3667,E00000029,5,-2,6,1,-2,1,4,1,-1,2,2,6,1
924,E00000014,5,-2,2,1,-2,1,1,1,-1,2,1,2,1
1046,E00000014,5,-2,6,2,-2,2,2,1,-1,2,1,4,1
3440,E00000028,5,-2,6,1,-2,1,2,1,-1,2,9,2,1
2530,E00000025,5,-2,3,1,-2,1,3,2,-1,2,2,2,1
1618,E00000019,5,-2,3,2,-2,2,3,1,-1,2,4,5,2
222,E00000003,5,-2,6,5,-2,3,6,4,-1,2,1,2,1
2189,E00000023,5,-2,5,2,-2,4,2,1,-1,2,2,5,1
1541,E00000018,4,-2,6,2,-2,2,3,1,-1,2,2,4,1
2062,E00000022,5,-2,2,1,-2,1,5,2,-1,2,2,2,1
2224,E00000023,5,-2,5,3,-2,2,5,2,-1,2,7,2,1
568,E00000007,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1948,E00000021,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
1446,E00000018,4,-2,2,1,-2,1,3,1,-1,2,4,2,3
1818,E00000020,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
4297,E00000035,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2954,E00000026,5,-2,6,5,-2,2,3,2,-1,2,1,4,1
678,E00000012,4,-2,2,1,-2,1,4,1,-1,2,1,4,2
2376,E00000024,5,-2,6,1,-2,1,6,1,-1,2,1,2,1
2116,E00000022,5,-2,5,2,-2,2,4,2,-1,2,7,8,2
1244,E00000016,5,-2,6,1,-2,1,6,1,-1,2,1,2,1
2264,E00000024,2,-2,2,5,-2,4,4,2,-1,2,1,2,1
5403,E00166759,5,-2,2,1,-2,1,4,1,-1,1,2,2,1
3810,E00000030,5,-2,5,4,-2,3,4,2,-1,2,6,2,1
2917,E00000026,5,-2,6,3,-2,2,2,1,-1,1,1,2,2
3331,E00000027,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
5298,E00166758,5,-2,6,2,-2,2,3,1,-1,2,2,2,1
2386,E00000024,5,-2,6,5,-2,2,6,4,-1,2,1,4,1
2590,E00000025,5,-2,6,1,-2,1,3,1,-1,2,3,4,2
3377,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1912,E00000021,5,-2,3,3,-2,4,3,2,-1,2,1,2,2
2615,E00000025,5,-2,6,4,-2,2,3,2,-1,2,4,2,2
3546,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,1,-1,-1,1
5237,E00166758,5,-2,3,1,-2,1,3,1,-1,2,1,2,1
1858,E00000021,5,-2,2,5,-2,4,3,2,-1,2,1,2,2
633,E00000010,5,-2,5,1,-2,1,3,1,-1,2,5,2,1
3391,E00000028,5,-2,2,1,-2,1,2,1,-1,2,4,2,1
2680,E00000025,5,-2,6,1,-2,1,5,1,-1,1,2,2,2
4000,E00000032,5,-2,5,4,-2,2,3,1,-1,2,6,2,1
1635,E00000019,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
4039,E00000032,5,-2,5,2,-2,3,4,3,-1,2,1,7,1
5336,E00166758,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
2418,E00000024,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
3693,E00000029,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
11,E00000001,5,-2,2,1,-2,1,5,3,-1,1,1,2,2
2111,E00000022,5,-2,5,2,-2,2,4,2,-1,2,5,2,1
3692,E00000029,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
5373,E00166759,5,-2,2,1,-2,1,1,1,-1,2,6,2,1
766,E00000012,5,-2,5,2,-2,3,3,2,-1,2,3,2,1
1008,E00000014,5,-2,5,3,-2,2,2,1,-1,2,1,2,1
954,E00000014,5,-2,3,1,-2,1,2,1,-1,2,3,2,1
5100,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
685,E00000012,5,-2,3,1,-2,1,1,1,-1,2,1,2,1
2857,E00000026,5,-2,3,3,-2,2,2,1,-1,2,1,2,2
306,E00000005,5,-2,2,2,-2,2,4,2,-1,2,2,2,1
2814,E00000025,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3130,E00000027,5,-2,3,2,-2,2,3,2,-1,2,2,2,1
5272,E00166758,5,-2,5,1,-2,1,1,1,-1,2,2,2,1
3153,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,4,1
3532,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,1,-1,-1,1
5067,E00166757,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
5556,E00166759,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
4253,E00000035,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2886,E00000026,5,-2,3,1,-2,1,5,3,-1,2,4,2,2
3030,E00000026,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
66,E00000001,5,-2,3,2,-2,2,6,3,-1,2,1,2,3
1365,E00000017,5,-2,5,1,-2,1,5,4,-1,2,4,2,1
1020,E00000014,5,-2,5,1,-2,1,3,1,-1,2,2,7,1
5414,E00166759,5,-2,2,1,-2,1,6,1,-1,2,1,2,1
5255,E00166758,5,-2,3,2,-2,2,3,1,-1,2,2,4,3
1314,E00000017,5,-2,2,2,-2,3,6,4,-1,2,1,4,2
3325,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
4932,E00166757,5,-2,6,2,-2,2,3,1,-1,2,1,4,1
4645,E00166756,5,-2,6,1,-2,1,1,1,-1,2,9,4,1
2043,E00000022,5,-2,2,1,-2,1,3,2,-1,2,2,2,1
3121,E00000027,5,-2,3,1,-2,1,3,1,-1,2,2,2,2
