microsim;microsimulation
microsimmodel;microsimulation model
spatialmicrosimmodel;spatial microsimulation model
urbanmicrosimmodel;urban microsimulation model
transportmicrosimmodel;transport microsimulation model
lutimodel;land use transport interaction model
