output,utilitywalk,utilitypt,utilitycar,seed,fuaInd,popSample
carShare,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
ptShare,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
walkShare,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
avgTripDistance,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
avgScore,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
